Date,Open,High,Low,Close,Volume,Change
2013-07-29,27101,28137,26871,27389,1156,
2013-07-30,27389,28252,27389,27389,4154,0.0
2013-07-31,27619,27619,27331,27562,1634,0.006316404395925401
2013-08-01,27619,27619,27158,27332,1182,-0.00834482258181557
2013-08-02,27043,27906,27043,27332,3198,0.0
2013-08-05,27331,27331,26871,26929,2767,-0.014744621688862924
2013-08-06,26583,27101,26526,26526,3876,-0.014965279067176596
2013-08-07,26123,27331,26123,26584,6335,0.002186533966674231
2013-08-08,26180,27274,26180,26814,1043,0.0086518206439965
2013-08-09,27331,27331,26353,26353,2120,-0.01719251137465505
2013-08-12,26180,27101,26180,26353,1816,0.0
2013-08-13,26353,28079,26353,27389,6122,0.039312412249079776
2013-08-14,26641,27561,26641,27562,3615,0.006316404395925401
2013-08-16,26813,27561,26813,27044,2555,-0.0187939917277411
2013-08-19,26813,27504,26813,27389,3902,0.012756988611152265
2013-08-20,27043,27504,26813,27504,3128,0.004198765927927228
2013-08-21,27504,27561,26353,27044,7934,-0.01672484002326935
2013-08-22,26641,26928,26353,26411,4523,-0.023406300843070604
2013-08-23,26526,27043,26526,26814,3476,0.015258793684449712
2013-08-26,26871,27619,26813,27159,8412,0.012866413067800453
2013-08-27,27158,27216,26468,26756,2125,-0.014838543392613812
2013-08-28,26238,27043,26238,26986,3780,0.008596202720885016
2013-08-29,26986,27446,26928,27332,20327,0.012821462980804776
2013-08-30,27389,29230,27331,28137,10513,0.02945265622713311
2013-09-02,28137,29230,27964,28080,7404,-0.0020258023243415746
2013-09-03,29230,29230,27504,27619,3389,-0.016417378917378933
2013-09-04,27619,28482,27158,27562,1512,-0.002063796661718409
2013-09-05,28194,28194,27274,28195,3406,0.02296640301864894
2013-09-06,28194,28252,27504,27619,5170,-0.020429154105337854
2013-09-09,27619,28022,27331,27332,4718,-0.010391397226546917
2013-09-10,27158,27676,26410,27562,16058,0.00841504463632381
2013-09-11,27561,27561,26756,27504,3945,-0.00210434656410996
2013-09-12,27619,30438,27619,28597,25256,0.039739674229203104
2013-09-13,28770,29863,28482,29806,7395,0.0422771619400637
2013-09-16,29920,29920,29115,29633,1825,-0.005804200496544287
2013-09-17,29805,29863,29287,29863,3432,0.0077616171160530545
2013-09-23,30266,30323,29403,29691,3067,-0.005759635669557617
2013-09-24,30266,30266,29518,29518,2859,-0.005826681485972207
2013-09-25,30093,30093,29230,29345,2275,-0.005860830679585316
2013-09-26,29345,29345,28655,29230,6847,-0.003918895893678664
2013-09-27,29230,29345,29000,29115,3650,-0.003934314060896393
2013-09-30,29115,29575,28482,29230,11131,0.003949854027133881
2013-10-01,29230,29518,29057,29518,3919,0.00985289086554908
2013-10-02,30151,30151,29000,29000,2511,-0.017548614404769958
2013-10-04,29000,29057,28655,28713,1112,-0.009896551724137947
2013-10-07,28712,28885,28539,28540,5761,-0.006025145404520593
2013-10-08,28539,28827,28424,28828,2529,0.010091100210231296
2013-10-10,28827,28885,28424,28655,3798,-0.0060011100319133925
2013-10-11,28770,29000,28252,28713,5057,0.002024079567265691
2013-10-14,28712,28770,28309,28655,3763,-0.0020199909448681552
2013-10-15,28712,29000,28367,29000,3893,0.012039783632873835
2013-10-16,29000,29000,28079,28252,7926,-0.0257931034482759
2013-10-17,28252,28885,27906,28770,5831,0.018334985133795945
2013-10-18,28712,28712,27791,28540,3363,-0.007994438651372948
2013-10-21,28539,28712,28022,28713,4197,0.006061667834618145
2013-10-22,29000,29115,28194,28540,9352,-0.006025145404520593
2013-10-23,28712,32222,28309,28310,3624,-0.008058864751226302
2013-10-24,29690,29690,28482,28482,4849,0.006075591663722957
2013-10-25,28597,28770,28424,28770,2572,0.010111649462818617
2013-10-28,28424,29000,28194,28770,6778,0.0
2013-10-29,28885,29115,28597,29115,3704,0.011991657977059367
2013-10-30,29115,29633,29000,29000,2772,-0.00394985402713377
2013-10-31,29230,29230,28712,29000,3989,0.0
2013-11-01,29115,29575,29115,29403,4478,0.01389655172413784
2013-11-04,30323,30668,29690,30496,10045,0.03717307757711796
2013-11-05,30496,32567,30496,31647,14436,0.037742654774396645
2013-11-06,32107,33718,31532,32913,48116,0.04000379182860936
2013-11-07,33603,34524,32337,32913,18736,0.0
2013-11-08,33085,33373,32222,32222,15718,-0.02099474371828758
2013-11-11,32280,32337,31071,32107,10523,-0.003568990130966454
2013-11-12,32107,33373,32107,33086,11308,0.030491793066932393
2013-11-13,33085,34293,33085,33488,16097,0.012150154143746539
2013-11-14,33718,33833,33430,33834,13765,0.010332059245102831
2013-11-15,33948,35099,33776,34984,118358,0.033989478039841536
2013-11-18,34984,35502,34293,35272,19874,0.008232334781614448
2013-11-19,35214,36192,34869,35617,20003,0.009781129507824948
2013-11-20,35674,35905,35559,35560,12244,-0.0016003593789482018
2013-11-21,35157,35559,34811,34927,10437,-0.0178008998875141
2013-11-22,35617,35674,34926,35215,10610,0.008245769748332243
2013-11-25,34811,35732,34811,35215,17903,0.0
