Date,Open,High,Low,Close,Volume,Change
2013-07-29,265500,267500,263500,265500,337310,
2013-07-30,268500,278500,266500,277500,632486,0.04519774011299438
2013-07-31,278000,278500,272500,274000,429341,-0.012612612612612595
2013-08-01,275000,275500,268000,269000,197466,-0.018248175182481785
2013-08-02,270500,273000,264000,264500,342460,-0.016728624535315983
2013-08-05,265500,268000,264500,264500,111268,0.0
2013-08-06,265500,268500,264500,266500,143557,0.007561436672967936
2013-08-07,265500,266000,259000,259000,250645,-0.02814258911819889
2013-08-08,261500,264000,260500,262000,206961,0.01158301158301156
2013-08-09,265000,265000,261000,262500,151591,0.001908396946564972
2013-08-12,267000,267500,263000,265000,132291,0.00952380952380949
2013-08-13,265500,267500,263000,267000,118350,0.007547169811320753
2013-08-14,266000,267000,262000,266000,165863,-0.0037453183520599342
2013-08-16,263500,270000,262000,268000,214519,0.007518796992481258
2013-08-19,267500,270000,265000,269500,134894,0.005597014925373234
2013-08-20,268500,271500,264500,266500,209422,-0.011131725417439675
2013-08-21,262000,269000,262000,263500,205507,-0.011257035647279534
2013-08-22,260500,266500,260000,263500,213525,0.0
2013-08-23,263500,271000,263000,269500,307130,0.022770398481973375
2013-08-26,270500,274000,270000,271500,155298,0.007421150278293043
2013-08-27,270500,274500,269000,270500,148275,-0.0036832412523020164
2013-08-28,265000,273000,264000,271500,180386,0.003696857670979714
2013-08-29,271500,278000,271500,277000,421767,0.0202578268876612
2013-08-30,278500,280000,276000,279000,346127,0.0072202166064982976
2013-09-02,282000,283500,279500,281500,269488,0.008960573476702427
2013-09-03,280500,281000,275000,277000,298240,-0.01598579040852577
2013-09-04,275000,281000,275000,277500,144642,0.0018050541516245744
2013-09-05,280500,285500,279000,282000,275513,0.016216216216216273
2013-09-06,283500,288500,281000,284000,290629,0.007092198581560183
2013-09-09,284000,289500,284000,289500,294311,0.01936619718309851
2013-09-10,288000,290500,286500,290500,229382,0.003454231433505983
2013-09-11,291500,291500,285500,288500,266146,-0.0068846815834767705
2013-09-12,286000,288000,279500,283000,359269,-0.01906412478336217
2013-09-13,284000,285500,280500,283500,201229,0.0017667844522968323
2013-09-16,287500,290000,286500,289000,176338,0.01940035273368612
2013-09-17,294500,295000,287500,292000,215481,0.01038062283737018
2013-09-23,294500,297500,290000,295500,213891,0.011986301369863117
2013-09-24,293000,297000,292000,296000,147431,0.0016920473773265332
2013-09-25,294000,296500,292500,295000,155003,-0.0033783783783783994
2013-09-26,295000,295500,285500,288500,268370,-0.02203389830508473
2013-09-27,291500,297000,289500,293500,197244,0.017331022530329365
2013-09-30,290500,291000,286000,286000,185397,-0.02555366269165249
2013-10-01,285500,291000,285500,288500,112257,0.00874125874125875
2013-10-02,291500,291500,279000,281000,247350,-0.025996533795493937
2013-10-04,284500,284500,280000,281000,155387,0.0
2013-10-07,279000,281000,277000,279000,180201,-0.007117437722419906
2013-10-08,276500,281500,275500,281000,169035,0.007168458781362075
2013-10-10,283000,287000,281500,285000,211940,0.014234875444839812
2013-10-11,288000,290500,285500,288500,148938,0.012280701754386003
2013-10-14,286000,288500,284500,286500,157875,-0.006932409012131768
2013-10-15,287500,293000,287500,290000,153793,0.01221640488656206
2013-10-16,290500,293000,288500,291500,154837,0.005172413793103514
2013-10-17,294000,296500,291500,293000,147054,0.005145797598627766
2013-10-18,295000,295000,286000,290000,216865,-0.010238907849829393
2013-10-21,288000,290000,286000,287000,150494,-0.010344827586206917
2013-10-22,287500,292000,286500,291000,166360,0.013937282229965264
2013-10-23,288000,292500,287000,288500,224398,-0.00859106529209619
2013-10-24,287000,289000,279500,283000,248958,-0.01906412478336217
2013-10-25,284000,295000,281500,294000,405224,0.03886925795053009
2013-10-28,294000,310000,294000,301500,518280,0.025510204081632626
2013-10-29,300000,304500,298000,304500,254135,0.00995024875621886
2013-10-30,301000,302500,296000,298500,280117,-0.019704433497536922
2013-10-31,296000,301500,295000,299500,145834,0.003350083752093891
2013-11-01,305000,305500,297000,300000,149263,0.0016694490818029983
2013-11-04,297500,303000,294500,299500,107642,-0.0016666666666667052
2013-11-05,306500,309500,301000,304000,184599,0.015025041736226985
2013-11-06,302000,308000,302000,306000,137637,0.006578947368421018
2013-11-07,303500,308500,302500,307000,152003,0.0032679738562091387
2013-11-08,304000,309500,303000,305500,152522,-0.004885993485342022
2013-11-11,305500,308000,301000,308000,111168,0.008183306055646433
2013-11-12,305500,310000,300000,301500,214335,-0.02110389610389607
2013-11-13,299000,301000,291000,294500,212795,-0.023217247097844118
2013-11-14,293500,296000,288000,292000,191327,-0.008488964346349714
2013-11-15,295500,302000,294000,295000,165572,0.010273972602739656
2013-11-18,296000,302000,296000,298500,124753,0.011864406779660941
2013-11-19,298500,309000,298000,307500,217364,0.03015075376884413
2013-11-20,309500,309500,300500,303000,178324,-0.014634146341463428
2013-11-21,300000,302000,297000,302000,171606,-0.0033003300330033403
2013-11-22,302000,304500,299000,301000,69108,-0.0033112582781457123
2013-11-25,302000,303500,297500,299000,178233,-0.006644518272425293
2013-11-26,299000,304500,295000,302500,119264,0.0117056856187292
2013-11-27,300500,308500,299000,308500,144497,0.01983471074380172
2013-11-28,308500,310000,304000,307000,146682,-0.004862236628849326
2013-11-29,307000,309000,302500,307000,111213,0.0
2013-12-02,312000,315000,308000,311500,179103,0.014657980456026065
2013-12-03,315000,316000,298000,302000,354859,-0.0304975922953451
2013-12-04,298000,302000,295000,298000,180066,-0.013245033112582738
2013-12-05,297500,299000,293000,296000,164420,-0.006711409395973145
2013-12-06,294000,294000,289000,289000,176242,-0.023648648648648685
2013-12-09,290000,293000,289500,291500,120358,0.00865051903114189
2013-12-10,297000,298500,291500,293500,205698,0.006861063464836947
2013-12-11,293000,295000,289500,290000,113446,-0.011925042589437829
2013-12-12,293000,293000,289500,291500,127031,0.005172413793103514
2013-12-13,292000,292000,288000,290000,144602,-0.005145797598627766
2013-12-16,288000,290500,287500,287500,114180,-0.008620689655172376
2013-12-17,294000,295500,289000,291000,173621,0.012173913043478368
2013-12-18,296000,296500,291000,292000,151323,0.0034364261168384758
2013-12-19,292000,293000,275500,280500,398200,-0.03938356164383561
2013-12-20,279000,285000,278000,281500,129241,0.0035650623885918886
2013-12-23,284500,286500,283000,285000,128619,0.01243339253996445
2013-12-24,287000,288000,285500,287000,104971,0.007017543859649145
2013-12-26,288500,289500,286500,288500,123487,0.005226480836237002
2013-12-27,286000,290500,285500,289000,78932,0.0017331022530329143
2013-12-30,289000,295000,287000,293500,155784,0.015570934256055269
2014-01-02,296500,297000,277500,279000,244998,-0.04940374787052815
2014-01-03,280500,282000,274000,276000,229897,-0.010752688172043001
2014-01-06,276000,282000,273000,279500,129770,0.0126811594202898
2014-01-07,278000,284000,277500,277500,149264,-0.007155635062611854
2014-01-08,278500,279000,274000,276000,160529,-0.00540540540540535
2014-01-09,276000,280000,270000,270000,252877,-0.021739130434782594
2014-01-10,274000,278000,272000,273500,144806,0.012962962962963065
2014-01-13,275000,283000,275000,279500,177715,0.021937842778793515
2014-01-14,280500,285500,277000,280000,202304,0.0017889087656528524
2014-01-15,284500,285000,279500,280000,101282,0.0
2014-01-16,279500,283500,279000,281500,129061,0.005357142857142838
2014-01-17,284500,287500,282500,283500,213956,0.007104795737122638
2014-01-20,281500,289000,280500,287000,145866,0.012345679012345734
2014-01-21,289500,295000,286000,292500,214166,0.019163763066202044
2014-01-22,292500,295000,289000,292000,142503,-0.0017094017094017033
2014-01-23,293500,294500,288500,292000,162415,0.0
2014-01-24,292000,292500,285000,292500,151633,0.001712328767123239
2014-01-27,285000,305000,284500,294000,348829,0.00512820512820511
2014-01-28,297500,309000,295000,304500,506403,0.03571428571428581
2014-01-29,304000,313000,302500,310000,295050,0.01806239737274229
2014-02-03,302000,304000,298000,301000,339987,-0.029032258064516148
2014-02-04,295500,301500,295500,295500,295488,-0.01827242524916939
2014-02-05,300000,309000,299000,307500,222159,0.04060913705583746
2014-02-06,310000,311000,303000,306000,214826,-0.004878048780487809
2014-02-07,303000,310000,303000,309500,170925,0.011437908496731986
