Date,Open,High,Low,Close,Volume,Change
2013-07-29,11173,12143,11173,11438,618,
2013-07-30,11589,11840,11337,11362,764,-0.006644518272425293
2013-07-31,11777,11777,11274,11551,1482,0.016634395352930875
2013-08-01,11689,11941,11274,11702,4991,0.013072461258765378
2013-08-02,11903,12067,11463,11904,3276,0.01726200649461629
2013-08-05,12344,12344,11601,12043,4153,0.011676747311827995
2013-08-06,12067,12067,11513,11942,2676,-0.008386614630905953
2013-08-07,11374,11929,11374,11778,1984,-0.013733043041366577
2013-08-08,12042,12055,11463,11476,4303,-0.02564102564102566
2013-08-09,11337,11740,11337,11639,1332,0.014203555245730248
2013-08-12,11639,11639,11185,11627,2745,-0.0010310164103445318
2013-08-13,11777,11777,11274,11665,1077,0.003268254923884051
2013-08-14,11677,11677,11286,11602,105,-0.00540077153879126
2013-08-16,11966,12055,11551,11702,455,0.008619203585588764
2013-08-19,12004,12004,11311,11639,640,-0.0053836950948555895
2013-08-20,11715,11715,11387,11526,1088,-0.009708737864077666
2013-08-21,11160,11677,11160,11677,5455,0.0131008155474579
2013-08-22,11022,13226,11022,11211,7127,-0.039907510490708176
2013-08-23,11337,11727,11122,11677,1027,0.0415663187940416
2013-08-26,11803,11803,11223,11728,2140,0.004367560161000261
2013-08-27,11740,11777,11311,11614,5381,-0.009720327421555264
2013-08-28,11563,11715,11211,11513,2263,-0.008696400895470968
2013-08-29,11715,12458,11211,11841,4461,0.028489533570746017
2013-08-30,12080,12080,11589,11917,3746,0.006418376826281547
2013-09-02,11878,12281,11500,11891,469,-0.0021817571536461022
2013-09-03,11966,11966,11677,11879,679,-0.0010091665965856755
2013-09-04,11715,11966,11450,11450,2131,-0.036114151022813346
2013-09-05,11513,11916,11337,11589,1376,0.012139737991266442
2013-09-06,11400,11639,11311,11450,700,-0.011994132366899612
2013-09-09,11437,11652,11198,11639,1714,0.016506550218340577
2013-09-10,11828,11828,11185,11513,1844,-0.010825672308617529
