Date,Open,High,Low,Close,Volume,Change
2013-07-29,2247,2247,2174,2180,2450,
2013-07-30,2151,2278,2151,2265,3963,0.03899082568807333
2013-07-31,2242,2371,2226,2278,7380,0.005739514348785946
2013-08-01,2278,2278,2226,2258,1314,-0.008779631255487308
2013-08-02,2252,2381,2252,2299,3651,0.018157661647475676
2013-08-05,2330,2371,2299,2304,3092,0.002174858634188759
2013-08-06,2324,2324,2226,2242,1949,-0.02690972222222221
2013-08-07,2200,2226,2174,2175,3098,-0.02988403211418378
2013-08-08,2172,2190,2148,2177,751,0.0009195402298851629
2013-08-09,2151,2172,2151,2159,790,-0.00826825907211759
2013-08-12,2107,2164,2107,2141,853,-0.008337193144974497
2013-08-13,2125,2143,2112,2118,1020,-0.010742643624474524
2013-08-14,2107,2135,2102,2136,750,0.008498583569405138
2013-08-16,2112,2151,2112,2149,661,0.006086142322097476
2013-08-19,2122,2143,2115,2133,780,-0.007445323406235493
2013-08-20,2156,2156,2120,2120,3260,-0.006094702297233967
2013-08-21,2115,2128,2071,2113,2450,-0.0033018867924528017
2013-08-22,2076,2104,2060,2082,1521,-0.014671083767155757
2013-08-23,2081,2104,2068,2079,641,-0.0014409221902017544
2013-08-26,2122,2192,2120,2141,1040,0.02982202982202975
2013-08-27,2117,2122,2104,2115,580,-0.012143858010275621
2013-08-28,2112,2431,2060,2431,39291,0.14940898345153664
2013-08-29,2503,2547,2345,2434,39552,0.0012340600575895255
2013-08-30,2425,2425,2291,2392,14746,-0.01725554642563676
2013-09-02,2355,2425,2317,2366,4336,-0.010869565217391353
2013-09-03,2381,2381,2319,2353,5360,-0.005494505494505475
2013-09-04,2353,2588,2353,2467,31069,0.04844878878028047
2013-09-05,2467,2467,2353,2423,10766,-0.01783542764491286
2013-09-06,2420,2472,2361,2387,9420,-0.014857614527445273
2013-09-09,2381,2381,2353,2379,4620,-0.0033514872224549297
2013-09-10,2355,2407,2330,2379,5645,0.0
2013-09-11,2428,2428,2345,2392,3755,0.005464480874316946
2013-09-12,2392,2482,2389,2413,4070,0.008779264214046734
