Date,Open,High,Low,Close,Volume,Change
2013-07-29,4865,4961,4838,4852,77444,
2013-07-30,4858,4899,4845,4886,23981,0.007007419620775002
2013-07-31,4927,5187,4899,5105,170806,0.04482194023741304
2013-08-01,5146,5249,5078,5201,142387,0.018805093046033283
2013-08-02,5194,5406,5139,5297,88622,0.0184579888482983
2013-08-05,5297,5297,5208,5263,26099,-0.006418727581649963
2013-08-06,5215,5283,5084,5243,59981,-0.003800114003420063
2013-08-07,5228,5276,5078,5085,28335,-0.030135418653442714
2013-08-08,5167,5276,5078,5160,69345,0.014749262536873253
2013-08-09,5139,5180,5071,5119,25411,-0.007945736434108563
2013-08-12,5119,5345,5036,5256,56266,0.026763039656182874
2013-08-13,5256,5304,5153,5277,48186,0.003995433789954372
2013-08-14,5276,5276,5160,5236,15687,-0.007769566041311404
2013-08-16,5221,5221,5160,5174,8217,-0.011841100076394162
2013-08-19,5112,5146,4865,4948,56406,-0.04367993815229998
2013-08-20,4899,5043,4742,4920,160471,-0.0056588520614390125
2013-08-21,4913,4988,4762,4934,89280,0.0028455284552846294
2013-08-22,4817,5071,4755,4756,55655,-0.03607620591811922
2013-08-23,4769,4899,4769,4838,31586,0.01724137931034475
2013-08-26,4865,5030,4824,4941,53580,0.0212897891690782
2013-08-27,4968,4982,4797,4838,112385,-0.020845982594616452
2013-08-28,4817,4817,4625,4735,42323,-0.02128978916907809
2013-08-29,4714,4790,4653,4701,68426,-0.007180570221752891
2013-08-30,4769,4769,4557,4591,74810,-0.023399276749627718
2013-09-02,4660,4660,4577,4619,19868,0.0060988891309083915
2013-09-03,4639,4673,4618,4619,34222,0.0
2013-09-04,4639,4639,4577,4578,20301,-0.008876380168867715
2013-09-05,4598,4625,4584,4598,19576,0.004368719965050172
2013-09-06,4598,4625,4550,4591,53672,-0.0015224010439321978
2013-09-09,4591,4639,4488,4557,59395,-0.007405793944674333
2013-09-10,4570,4577,4522,4571,27222,0.003072196620583778
2013-09-11,4564,4639,4536,4619,37803,0.010500984467293861
2013-09-12,4653,4653,4577,4612,46884,-0.0015154795410261546
2013-09-13,4598,4625,4577,4605,24759,-0.0015177797051171282
2013-09-16,4605,4632,4516,4537,46434,-0.01476655808903371
2013-09-17,4516,4570,4495,4550,21022,0.002865329512893977
2013-09-23,4550,4570,4522,4537,26060,-0.0028571428571428914
2013-09-24,4502,4557,4502,4530,37156,-0.0015428697377121159
2013-09-25,4529,4529,4488,4523,19899,-0.0015452538631346435
2013-09-26,4509,4522,4454,4516,52184,-0.0015476453681184665
2013-09-27,4509,4673,4509,4591,46716,0.016607617360496096
2013-09-30,4646,4646,4584,4585,25131,-0.0013069048137660522
2013-10-01,4584,4612,4550,4585,35527,0.0
2013-10-02,4557,4653,4557,4619,31996,0.00741548527808078
2013-10-04,4618,4618,4550,4564,27832,-0.011907339250920135
2013-10-07,4536,4584,4509,4523,37586,-0.008983347940403119
2013-10-08,4543,4570,4474,4530,32942,0.0015476453681184665
2013-10-10,4543,4612,4509,4598,40843,0.015011037527593807
2013-10-11,4557,4639,4557,4591,25909,-0.0015224010439321978
2013-10-14,4591,4721,4591,4694,77231,0.0224351993029841
2013-10-15,4728,4865,4701,4797,60586,0.021942905837239124
2013-10-16,4749,4982,4749,4866,119327,0.014383989993746127
2013-10-17,4865,4934,4824,4831,17422,-0.007192766132346873
2013-10-18,4810,4831,4728,4756,28188,-0.015524736079486678
2013-10-21,4701,4749,4680,4749,13569,-0.0014718250630781915
2013-10-22,4783,4851,4783,4838,22115,0.018740787534217818
2013-10-23,4872,4872,4728,4763,34746,-0.015502273666804456
2013-10-24,4783,4988,4721,4968,82911,0.0430401007768213
2013-10-25,4968,4975,4886,4893,25271,-0.015096618357487879
2013-10-28,4872,4934,4714,4749,28106,-0.029429797670140978
2013-10-29,4755,4831,4749,4756,43037,0.0014739945251631692
2013-10-30,4797,4858,4762,4831,47273,0.01576955424726667
2013-10-31,4810,4831,4762,4763,12594,-0.014075760712067842
2013-11-01,4831,4831,4755,4756,11288,-0.001469661977745118
2013-11-04,4755,4851,4755,4824,22405,0.014297729184188368
2013-11-05,4865,5043,4762,4804,68889,-0.004145936981757914
2013-11-06,4769,4810,4755,4797,19939,-0.001457119067443835
2013-11-07,4865,4865,4749,4797,24085,0.0
2013-11-08,4838,4838,4762,4797,9827,0.0
2013-11-11,4797,4858,4728,4763,26549,-0.007087763185324114
2013-11-12,4762,4838,4755,4831,16931,0.014276716355238195
2013-11-13,4831,4865,4762,4763,13498,-0.014075760712067842
2013-11-14,4762,4824,4755,4756,3933,-0.001469661977745118
2013-11-15,4755,4954,4755,4948,51145,0.04037005887300249
2013-11-18,4947,4947,4865,4920,25606,-0.0056588520614390125
2013-11-19,4920,4934,4872,4907,17328,-0.002642276422764267
2013-11-20,4906,4920,4817,4818,13273,-0.01813735479926637
2013-11-21,4817,4858,4762,4763,7972,-0.011415525114155223
2013-11-22,4762,4810,4707,4708,20173,-0.011547344110854452
2013-11-25,4694,4755,4660,4694,17052,-0.0029736618521665203
2013-11-26,4701,4776,4618,4763,20926,0.014699616531742565
