Date,Open,High,Low,Close,Volume,Change
2013-07-29,4835,4850,4735,4735,28825,
2013-07-30,4735,4800,4660,4715,40735,-0.004223864836325197
2013-07-31,4720,4815,4720,4750,68896,0.007423117709437932
2013-08-01,4810,4850,4750,4815,59276,0.013684210526315743
2013-08-02,4820,4855,4765,4825,43229,0.0020768431983384517
2013-08-05,4820,5160,4820,5110,203967,0.059067357512953444
2013-08-06,5150,5170,5030,5080,92550,-0.005870841487279899
2013-08-07,5080,5130,5040,5090,44925,0.0019685039370078705
2013-08-08,5170,5170,5060,5100,39930,0.0019646365422396617
2013-08-09,5100,5310,5060,5310,135702,0.04117647058823537
2013-08-12,5310,5480,5310,5350,126209,0.007532956685499137
2013-08-13,5320,5420,5310,5350,76780,0.0
2013-08-14,5330,5450,5330,5340,57173,-0.0018691588785046953
2013-08-16,5280,5300,5240,5290,47100,-0.009363295880149836
2013-08-19,5250,5500,5220,5410,64821,0.022684310018903586
2013-08-20,5410,5500,5250,5300,83081,-0.020332717190388205
2013-08-21,5300,5380,5170,5300,100330,0.0
2013-08-22,5200,5280,5040,5210,114258,-0.016981132075471694
2013-08-23,5170,5540,5170,5540,186490,0.06333973128598847
2013-08-26,5560,6290,5560,6000,775741,0.08303249097472931
2013-08-27,6040,6050,5820,5950,238554,-0.008333333333333304
2013-08-28,5800,6030,5670,5670,338857,-0.04705882352941182
2013-08-29,5700,6040,5700,6000,263325,0.05820105820105814
2013-08-30,6070,6160,5850,5970,280390,-0.0050000000000000044
2013-09-02,5980,6410,5960,6260,450256,0.048576214405360085
2013-09-03,6270,6530,6100,6160,330580,-0.015974440894568676
2013-09-04,6160,6500,6130,6430,259571,0.043831168831168776
2013-09-05,6570,6570,6320,6420,186965,-0.0015552099533436836
2013-09-06,6490,6640,6120,6610,396450,0.029595015576324046
2013-09-09,6680,6720,6490,6630,210104,0.00302571860816947
2013-09-10,6730,6780,6520,6690,281573,0.009049773755656076
2013-09-11,6710,6750,6340,6360,350431,-0.04932735426008972
2013-09-12,6390,6480,6270,6370,279632,0.0015723270440251014
2013-09-13,6330,6350,6100,6170,260622,-0.031397174254317095
2013-09-16,6200,6260,5900,5990,307652,-0.02917341977309562
2013-09-17,5960,6050,5920,5970,104390,-0.0033388981636059967
2013-09-23,5970,6270,5930,6180,186827,0.035175879396984966
2013-09-24,6150,6420,6130,6400,198270,0.03559870550161803
2013-09-25,6530,6530,6370,6430,139370,0.004687499999999956
2013-09-26,6400,6500,6330,6490,168244,0.009331259720062102
2013-09-27,6450,6550,6310,6490,123066,0.0
2013-09-30,6480,6510,6360,6410,178131,-0.012326656394452962
2013-10-01,6360,7170,6360,6740,851270,0.05148205928237126
2013-10-02,6790,7090,6730,7000,279690,0.03857566765578646
2013-10-04,7070,7130,6850,6960,125826,-0.005714285714285672
2013-10-07,6960,6960,6770,6780,76182,-0.025862068965517238
2013-10-08,6780,6780,6490,6680,132951,-0.014749262536873142
2013-10-10,6700,6700,6520,6570,86680,-0.01646706586826352
2013-10-11,6600,6870,6550,6800,175641,0.035007610350076046
2013-10-14,6800,6840,6680,6830,86951,0.004411764705882337
2013-10-15,6830,6830,6760,6790,75258,-0.005856515373352855
2013-10-16,6790,6900,6350,6500,161950,-0.04270986745213545
