Date,Open,High,Low,Close,Volume,Change
2013-07-29,37900,38100,37550,37600,173668,
2013-07-30,37650,38400,37350,38100,215146,0.013297872340425565
2013-07-31,38300,38300,37600,37750,195540,-0.009186351706036766
2013-08-01,37750,37950,37500,37650,125709,-0.0026490066225165476
2013-08-02,37950,38000,37300,37350,153178,-0.007968127490039834
2013-08-05,37450,38000,37200,37600,121477,0.006693440428380271
2013-08-06,37600,37800,36750,36750,187100,-0.022606382978723416
2013-08-07,36200,37650,35700,35850,337469,-0.024489795918367308
2013-08-08,36200,36500,35400,35450,175648,-0.01115760111576014
2013-08-09,35500,36200,35100,35200,196094,-0.007052186177715081
2013-08-12,35200,35250,32350,32450,1189081,-0.078125
2013-08-13,32700,33800,32550,33100,603893,0.02003081664098616
2013-08-14,33550,33550,32100,32200,715556,-0.027190332326283984
2013-08-16,31700,32800,31550,32300,301520,0.0031055900621117516
2013-08-19,32400,33300,32400,33300,361682,0.030959752321981338
2013-08-20,33200,33450,32250,32300,305965,-0.03003003003003002
2013-08-21,32400,32500,31200,31550,258450,-0.023219814241486114
2013-08-22,31050,31250,30100,30300,345171,-0.03961965134706813
2013-08-23,30500,31200,30500,30850,203711,0.018151815181518094
2013-08-26,30950,31800,30950,31300,182770,0.014586709886547755
2013-08-27,31050,31150,29900,30250,407271,-0.033546325878594296
2013-08-28,29350,30450,29150,30050,269481,-0.006611570247933907
2013-08-29,30150,31900,30000,31400,437201,0.04492512479201327
2013-08-30,31200,33550,31100,33400,935237,0.06369426751592355
2013-09-02,33500,34600,32850,34550,641476,0.034431137724550975
2013-09-03,34700,34700,33250,33500,400802,-0.03039073806078152
2013-09-04,33400,34250,33100,33700,296923,0.005970149253731405
2013-09-05,33750,33900,33300,33700,170324,0.0
2013-09-06,33900,33950,32750,33000,245033,-0.020771513353115778
2013-09-09,33000,33800,32600,33800,293416,0.024242424242424176
2013-09-10,34000,34000,32650,32900,366824,-0.026627218934911268
2013-09-11,33100,33450,32850,33100,235024,0.006079027355623046
2013-09-12,33250,33650,32600,33400,358999,0.009063444108761365
