Date,Open,High,Low,Close,Volume,Change
2013-07-29,16350,16450,16100,16200,120122,
2013-07-30,16200,16250,16050,16150,101969,-0.0030864197530864335
2013-07-31,16150,16650,16150,16650,276375,0.030959752321981338
2013-08-01,16650,17150,16500,17100,378631,0.027027027027026973
2013-08-02,17150,17250,16900,17100,225308,0.0
2013-08-05,17050,17100,16900,16900,112156,-0.011695906432748537
2013-08-06,16900,17050,16750,16900,104698,0.0
2013-08-07,16800,16900,16700,16900,131327,0.0
2013-08-08,16900,17150,16700,16800,168136,-0.00591715976331364
2013-08-09,16800,16800,16300,16400,116332,-0.023809523809523836
2013-08-12,16350,16550,16000,16550,231067,0.009146341463414531
2013-08-13,16450,17000,16450,16850,205241,0.01812688821752273
2013-08-14,16700,16800,16400,16700,136109,-0.008902077151335286
2013-08-16,16450,16550,16250,16250,140501,-0.026946107784431184
2013-08-19,16250,16300,15950,16050,234456,-0.012307692307692353
2013-08-20,16100,16400,16000,16100,252915,0.0031152647975076775
2013-08-21,16150,16200,15200,15400,331068,-0.04347826086956519
2013-08-22,15100,15350,14750,14800,226298,-0.038961038961038974
2013-08-23,15000,15500,14900,15300,190376,0.03378378378378377
2013-08-26,15350,15500,15050,15200,155662,-0.006535947712418277
2013-08-27,15150,15400,14550,14600,237429,-0.03947368421052633
2013-08-28,14300,14900,14100,14750,266266,0.010273972602739656
2013-08-29,14800,14900,14600,14600,159262,-0.01016949152542368
2013-08-30,14750,14750,13950,14050,311391,-0.03767123287671237
2013-09-02,14200,14550,14150,14400,182985,0.02491103202846978
2013-09-03,14500,14600,14300,14350,229426,-0.00347222222222221
2013-09-04,14250,14850,14050,14750,327039,0.027874564459930307
2013-09-05,14900,15150,14800,14900,200254,0.01016949152542379
2013-09-06,14950,15000,14700,14700,107710,-0.01342281879194629
2013-09-09,14800,15000,14550,14600,85154,-0.006802721088435382
2013-09-10,14700,14800,14550,14700,113903,0.006849315068493178
2013-09-11,14800,15250,14550,15150,163723,0.030612244897959107
2013-09-12,15250,15300,15000,15050,83719,-0.0066006600660065695
2013-09-13,15050,15100,14850,15100,99542,0.0033222591362125353
2013-09-16,15100,15150,14800,15000,108515,-0.0066225165562914245
2013-09-17,14900,15050,14800,14800,91920,-0.013333333333333308
2013-09-23,14850,14900,14500,14650,133102,-0.010135135135135087
2013-09-24,14650,14850,14300,14450,164942,-0.013651877133105783
2013-09-25,14350,14600,14150,14550,182220,0.006920415224913601
2013-09-26,14550,14850,14550,14600,119218,0.0034364261168384758
2013-09-27,14700,14750,14550,14650,103612,0.003424657534246478
2013-09-30,14650,14700,13800,13800,411061,-0.058020477815699634
2013-10-01,13750,13950,13500,13550,253784,-0.018115942028985477
2013-10-02,13750,14100,13600,13600,372327,0.0036900369003689537
2013-10-04,13550,13950,13300,13750,195116,0.011029411764705843
2013-10-07,13850,14000,13550,13550,140406,-0.014545454545454528
2013-10-08,13550,13650,13200,13500,243018,-0.0036900369003689537
2013-10-10,13550,13700,13500,13600,188644,0.007407407407407307
2013-10-11,13700,13850,13600,13700,141341,0.007352941176470562
2013-10-14,13750,13900,13650,13650,167774,-0.0036496350364964014
2013-10-15,13700,13950,13450,13450,229552,-0.0146520146520146
2013-10-16,13500,13600,12550,12700,467066,-0.055762081784386575
2013-10-17,12850,13000,12650,12950,300696,0.019685039370078705
2013-10-18,13050,13200,12950,13050,281979,0.007722007722007707
2013-10-21,13000,13350,13000,13300,283965,0.019157088122605304
2013-10-22,13200,13650,13200,13450,244238,0.011278195488721776
2013-10-23,13550,13900,13350,13700,258274,0.018587360594795488
2013-10-24,13750,13850,13500,13800,133110,0.007299270072992803
2013-10-25,13850,14350,13700,14250,305829,0.032608695652173836
2013-10-28,14100,14400,14100,14300,161715,0.0035087719298245723
2013-10-29,14300,14350,14150,14250,99001,-0.0034965034965035446
2013-10-30,14300,14450,14050,14400,133646,0.010526315789473717
2013-10-31,14250,14600,14100,14550,156040,0.01041666666666674
2013-11-01,14500,14650,14350,14400,135855,-0.010309278350515427
2013-11-04,14450,14700,14300,14700,116165,0.02083333333333326
2013-11-05,14700,14700,14500,14600,113451,-0.006802721088435382
2013-11-06,14500,14600,14000,14300,188892,-0.020547945205479423
2013-11-07,14300,14300,13800,13900,70611,-0.027972027972028024
2013-11-08,13800,13850,13400,13650,121894,-0.017985611510791366
2013-11-11,13550,13800,13150,13150,85457,-0.03663003663003661
2013-11-12,13150,13650,13100,13250,163318,0.0076045627376426506
2013-11-13,13300,13500,12950,13000,87233,-0.018867924528301883
2013-11-14,13150,13300,12700,13300,105612,0.023076923076922995
2013-11-15,13300,13650,13250,13600,119762,0.022556390977443552
2013-11-18,13800,13800,13350,13350,55617,-0.018382352941176516
2013-11-19,13200,13500,12950,13300,141092,-0.0037453183520599342
2013-11-20,13400,13400,12800,12800,129468,-0.03759398496240607
2013-11-21,12800,13000,12500,12850,139671,0.00390625
2013-11-22,12850,13350,12800,13300,120244,0.035019455252918386
2013-11-25,13200,13400,13000,13100,116965,-0.015037593984962405
2013-11-26,13100,13250,12950,13100,73249,0.0
2013-11-27,13100,13800,13100,13800,226498,0.05343511450381677
2013-11-28,13800,14050,13550,14050,133289,0.018115942028985588
2013-11-29,14050,14150,13850,14050,118894,0.0
2013-12-02,14000,14000,13500,13600,97625,-0.03202846975088969
2013-12-03,13450,13850,13450,13750,72695,0.011029411764705843
2013-12-04,13600,13900,13450,13850,85936,0.0072727272727273196
2013-12-05,13800,14150,13700,14150,102297,0.02166064981949467
2013-12-06,14000,14200,13600,13800,164585,-0.02473498233215543
2013-12-09,13800,14050,13500,13550,99973,-0.018115942028985477
2013-12-10,13600,13700,13150,13250,143201,-0.022140221402214055
