Date,Open,High,Low,Close,Volume,Change
2013-07-29,16432,16432,14684,14796,1882985,
2013-07-30,14498,14610,13829,14425,1887414,-0.025074344417410077
2013-07-31,14313,15056,14275,14834,1238559,0.028353552859618825
2013-08-01,14796,15019,14684,14945,257276,0.007482809761359066
2013-08-02,15019,15056,14870,14871,353826,-0.004951488792238168
2013-08-05,14945,15428,14870,15280,547155,0.02750319413623825
2013-08-06,15316,15911,15056,15689,599408,0.026767015706806285
2013-08-07,15502,15725,15279,15280,299594,-0.0260692204729428
2013-08-08,15353,15614,15168,15503,213254,0.014594240837696226
2013-08-09,15428,15428,15093,15317,246674,-0.011997677868799572
2013-08-12,15279,15539,14982,15391,158024,0.004831233270222723
2013-08-13,15391,15539,15242,15428,451710,0.0024040023390292653
2013-08-14,15428,15465,15316,15428,200712,0.0
2013-08-16,15242,15539,15056,15466,228276,0.0024630541871921707
2013-08-19,15391,15837,15391,15614,182885,0.009569377990430672
2013-08-20,15614,15651,15019,15242,310107,-0.02382477263993854
2013-08-21,15205,15391,14759,14871,354221,-0.024340637711586455
2013-08-22,14796,15130,14647,14722,356230,-0.010019501042297096
2013-08-23,14721,15019,14721,14871,271141,0.010120907485396069
2013-08-26,14907,15428,14870,15280,394997,0.02750319413623825
2013-08-27,15465,16209,15316,15763,990926,0.031609947643979064
2013-08-28,15614,16023,15428,15763,380199,0.0
2013-08-29,15948,16134,15688,16060,368951,0.018841591067690233
2013-08-30,16171,16469,15948,15986,276935,-0.004607721046077207
2013-09-02,16023,16617,15985,16581,431861,0.037220067559114334
2013-09-03,16803,17026,16617,16953,598082,0.02243531753211503
2013-09-04,16878,16989,16543,16841,379171,-0.006606500324426334
2013-09-05,16841,17064,16580,16953,243800,0.006650436434890938
2013-09-06,16692,16915,16469,16618,186345,-0.019760514363239556
2013-09-09,17026,17473,16878,17473,407617,0.05145023468528098
2013-09-10,17324,17584,17064,17585,254782,0.006409889543867786
2013-09-11,17658,18067,17398,18031,358782,0.025362524879158466
2013-09-12,18179,18922,17993,18365,748914,0.01852365370750375
2013-09-13,18067,18476,17770,17808,221394,-0.030329430982847794
2013-09-16,17993,18588,17956,18105,336710,0.016677897574123968
2013-09-17,18105,18179,17658,17882,303593,-0.012317039491853032
2013-09-23,18067,18216,17696,17882,297910,0.0
2013-09-24,17696,17844,17398,17585,254513,-0.016608880438429674
2013-09-25,17844,18030,17101,17399,395182,-0.010577196474267803
2013-09-26,17361,17696,17212,17473,236719,0.004253117995287159
2013-09-27,17510,17919,17398,17808,443203,0.019172437474961335
2013-09-30,17658,18067,17398,17882,675688,0.004155435759209292
2013-10-01,17770,17993,17287,17585,315456,-0.016608880438429674
2013-10-02,17621,17658,16766,16953,674749,-0.03593972135342627
2013-10-04,16803,16989,16246,16618,414199,-0.019760514363239556
2013-10-07,16394,16580,16134,16172,386188,-0.02683836803466122
2013-10-08,15985,16097,15762,16098,676236,-0.00457581004204799
2013-10-10,15911,16023,15614,15726,345347,-0.023108460678345155
2013-10-11,15911,16246,15688,15949,520082,0.014180338293272365
2013-10-14,15948,16209,15948,16135,600629,0.011662173177001689
2013-10-15,16320,16617,16283,16321,413667,0.011527734738146833
2013-10-16,16320,16580,16209,16358,204841,0.0022670179523314182
2013-10-17,16506,17435,16506,17138,594707,0.0476830908424013
2013-10-18,17250,17844,16989,17733,604228,0.03471817014820866
2013-10-21,17770,17956,17473,17622,235929,-0.006259516156318701
2013-10-22,17658,18328,17175,18142,548054,0.02950856883441144
2013-10-23,18216,18290,17770,17994,340324,-0.008157865725939795
2013-10-24,18142,18179,17807,17882,274109,-0.0062242969878848475
2013-10-25,17770,18142,17584,18105,205702,0.01247064086791183
2013-10-28,18067,18365,17398,18105,253757,0.0
2013-10-29,18067,18179,17844,17919,220585,-0.010273405136702607
2013-10-30,17956,18699,17956,18588,347677,0.03733467269378865
2013-10-31,18588,18625,17398,17547,667560,-0.05600387346675273
2013-11-01,17435,17770,17138,17362,427763,-0.010543112782811837
2013-11-04,17324,17807,16989,17250,469038,-0.006450869715470597
2013-11-05,17287,17733,16841,17547,388423,0.01721739130434785
2013-11-06,17324,17807,17324,17808,188397,0.014874337493588685
2013-11-07,17621,18067,17510,17622,298052,-0.01044474393530992
2013-11-08,17473,17770,17101,17324,420518,-0.016910679832028097
2013-11-11,17212,17473,17101,17213,118220,-0.0064072962364349895
2013-11-12,17175,17324,16766,17064,311369,-0.008656248184511717
2013-11-13,16841,17324,16841,17027,216112,-0.0021683075480544156
2013-11-14,16915,17287,16915,17213,186626,0.010923826863217245
2013-11-15,17212,17956,17212,17845,351098,0.036716435252425406
2013-11-18,17919,18179,17510,17696,186084,-0.008349677780891018
2013-11-19,17584,18216,17584,17956,144514,0.01469258589511746
2013-11-20,17919,18105,17733,17919,130544,-0.0020605925595901242
2013-11-21,17993,17993,17398,17547,132791,-0.020760087058429577
2013-11-22,17696,17844,17547,17696,122608,0.008491480025075493
2013-11-25,17770,18142,17770,17956,201041,0.01469258589511746
2013-11-26,17733,17733,16878,16990,626078,-0.053798173312541775
2013-11-27,17064,17212,16803,16990,582743,0.0
2013-11-28,16989,17101,16803,16878,315277,-0.006592113007651612
2013-11-29,16803,17212,16766,16990,328862,0.006635857329067463
2013-12-02,17026,17101,16469,16804,290527,-0.010947616244849967
2013-12-03,16803,16989,16543,16841,393449,0.0022018567007855427
2013-12-04,16841,16952,16580,16730,260547,-0.006591057538150924
2013-12-05,16729,16766,16543,16581,163943,-0.00890615660490135
2013-12-06,16357,16617,16171,16358,334275,-0.013449128520595877
2013-12-09,16543,16655,16246,16358,185887,0.0
2013-12-10,16469,16543,16320,16358,149593,0.0
2013-12-11,16246,16357,15800,16060,344967,-0.018217385988507195
2013-12-12,15614,15837,15168,15503,561688,-0.03468244084682437
2013-12-13,15428,16209,15316,15614,317394,0.007159904534606243
2013-12-16,15614,15688,15316,15428,117683,-0.01191238631996927
2013-12-17,15465,15985,15428,15614,219755,0.012056002074150918
2013-12-18,15577,16394,15465,16283,523613,0.04284616369924432
2013-12-19,16655,16655,15911,16209,267958,-0.004544617085303737
2013-12-20,16580,16580,16283,16358,344395,0.009192423961996488
2013-12-23,16394,16617,16357,16469,102882,0.006785670619880113
2013-12-24,16580,17026,16469,16953,241334,0.029388548181431773
2013-12-26,17101,17175,16766,16990,167550,0.002182504571462296
2013-12-27,16617,17250,16617,16915,191349,-0.004414361389052379
2013-12-30,17101,17250,16952,17250,181889,0.019804906887378015
2014-01-02,17473,17696,17101,17101,280080,-0.008637681159420318
2014-01-03,17101,17435,16989,16990,281996,-0.006490848488392542
2014-01-06,16729,17026,16506,16841,263602,-0.008769864626250734
2014-01-07,16915,17324,16878,16990,403441,0.00884745561427458
2014-01-08,17175,17398,17026,17250,317406,0.015303119482048322
2014-01-09,17473,17807,17324,17436,647159,0.010782608695652174
2014-01-10,17770,18142,17547,17808,803683,0.021335168616655187
2014-01-13,18067,18253,17956,18105,675078,0.016677897574123968
2014-01-14,18105,18402,17882,18179,508271,0.004087268710301073
2014-01-15,18216,18216,17510,18179,462367,0.0
2014-01-16,18142,18476,18030,18440,347518,0.014357225369932447
2014-01-17,18216,18662,17993,18217,273453,-0.012093275488069377
2014-01-20,18216,18662,18216,18588,523932,0.02036559257836079
2014-01-21,18662,18737,18365,18700,475108,0.006025392726490164
2014-01-22,18811,18811,18514,18774,156513,0.003957219251336852
2014-01-23,18848,18885,18476,18849,234031,0.003994886545222176
2014-01-24,18588,18625,17993,18328,265169,-0.02764072364581671
2014-01-27,18030,18551,17621,18179,285757,-0.008129637712789184
2014-01-28,18365,18774,17956,18402,422538,0.012266901369712313
2014-01-29,18588,18588,18067,18068,601086,-0.018150201065101568
2014-02-03,17770,17993,17658,17733,625182,-0.018541067079920315
2014-02-04,17435,18030,17435,17585,375406,-0.008346021541758342
2014-02-05,18253,19034,18105,19034,1282134,0.08239977253340913
2014-02-06,19071,19331,18885,19072,359749,0.001996427445623672
2014-02-07,19331,20112,19146,19815,822523,0.038957634228187876
2014-02-10,20075,20447,19369,19704,760777,-0.005601816805450466
2014-02-11,19703,20001,19443,19592,397968,-0.00568412505075111
2014-02-12,19629,19815,19554,19555,452050,-0.0018885259289506129
2014-02-13,19554,20261,19183,19183,449146,-0.019023267706468894
2014-02-14,19406,20335,19369,19852,529610,0.03487462857738621
2014-02-17,20298,21785,20186,21414,1084502,0.07868224863993545
2014-02-18,21562,22306,21079,22120,702995,0.032969085644905194
2014-02-19,21934,22306,21562,22306,810059,0.00840867992766725
2014-02-20,22380,23384,22045,22827,823281,0.023356944319913975
2014-02-21,22975,23012,22529,22566,514873,-0.011433828361151255
2014-02-24,22826,22863,22491,22678,318528,0.004963219002038555
2014-02-25,22529,22677,21711,22306,736162,-0.016403562924420134
2014-02-26,22231,22603,22082,22418,556629,0.005021070563973717
2014-02-27,22306,22417,21711,22306,394317,-0.004995985368900002
2014-02-28,22343,22454,21711,21748,430075,-0.025015690845512473
2014-03-03,21599,22045,21413,22046,484693,0.013702409416957773
2014-03-04,22008,22380,21897,22009,296781,-0.001678308990292976
2014-03-05,22306,23309,21971,23161,536048,0.052342223635785334
2014-03-06,23272,23272,22714,22789,357249,-0.016061482664824545
2014-03-07,22677,23198,22491,22715,315140,-0.0032471806573346473
2014-03-10,22640,23272,22194,22827,419127,0.004930662557781185
2014-03-11,22826,23644,22677,23607,267292,0.03417006176895776
2014-03-12,23458,23495,21859,22232,710319,-0.058245435675858825
2014-03-13,22306,22380,21636,22046,441705,-0.008366318819719276
2014-03-14,21562,21748,21004,21600,491139,-0.020230427288396968
2014-03-17,21525,21562,20744,20856,791683,-0.0344444444444445
2014-03-18,21190,21599,21004,21414,752563,0.026754890678941212
2014-03-19,21227,21934,21227,21860,385509,0.020827496030634274
