Date,Open,High,Low,Close,Volume,Change
2013-07-29,9969,10379,9700,9920,25956,
2013-07-30,9729,9749,8830,9070,66101,-0.08568548387096775
2013-07-31,8959,9259,8600,8760,65301,-0.034178610804851184
2013-08-01,8749,8899,8470,8740,54410,-0.0022831050228310223
2013-08-02,8780,9029,8510,8860,42978,0.013729977116704761
2013-08-05,8999,8999,8310,8430,50348,-0.048532731376975224
2013-08-06,8520,8769,8200,8630,37997,0.023724792408066353
2013-08-07,8509,8589,8160,8320,46308,-0.035921205098493614
2013-08-08,8309,8309,7930,8170,52419,-0.018028846153846145
2013-08-09,8200,8309,7980,8240,27638,0.008567931456548328
2013-08-12,8240,8459,8130,8400,20809,0.01941747572815533
2013-08-13,8389,8459,8020,8110,18933,-0.03452380952380951
2013-08-14,8070,8300,8070,8210,10129,0.012330456226880449
2013-08-16,7920,8109,7890,7960,23101,-0.030450669914738104
2013-08-19,8049,8149,7610,7650,25014,-0.03894472361809043
2013-08-20,7680,7830,7540,7720,9517,0.009150326797385588
2013-08-21,7709,7799,7300,7500,12411,-0.02849740932642486
2013-08-22,7380,7539,7280,7500,10018,0.0
2013-08-23,7550,7760,7500,7720,15684,0.029333333333333433
2013-08-26,7739,7739,7560,7700,7334,-0.002590673575129543
2013-08-27,7689,7709,7380,7550,10679,-0.01948051948051943
2013-08-28,7540,7540,7190,7410,19747,-0.018543046357615944
2013-08-29,7360,7769,7350,7620,12118,0.028340080971659853
2013-08-30,7559,7789,7510,7520,3845,-0.013123359580052507
2013-09-02,7620,7799,7460,7760,9270,0.03191489361702127
2013-09-03,7820,7979,7710,7930,13387,0.021907216494845283
2013-09-04,7920,7979,7750,7930,7280,0.0
2013-09-05,7919,7949,7770,7780,2270,-0.018915510718789386
2013-09-06,7800,7800,7670,7670,2589,-0.014138817480719768
2013-09-09,7620,7900,7540,7900,7623,0.02998696219035213
2013-09-10,7900,8090,7780,7800,5650,-0.012658227848101222
2013-09-11,7950,8100,7770,8110,10623,0.039743589743589824
2013-09-12,8109,8109,7920,8040,4324,-0.008631319358816225
2013-09-13,7980,8959,7900,8580,55362,0.0671641791044777
2013-09-16,8729,8729,8240,8300,27400,-0.03263403263403264
2013-09-17,8520,8520,7930,8210,33349,-0.010843373493975905
2013-09-23,8800,9420,8620,9430,254619,0.14859926918392197
2013-09-24,9750,10820,9311,10830,442415,0.1484623541887593
2013-09-25,11379,11509,10500,10780,399130,-0.004616805170821747
2013-09-26,10859,11149,10270,10670,313591,-0.010204081632653073
2013-09-27,10780,10900,10070,10120,214638,-0.05154639175257736
2013-09-30,10030,10260,9710,9890,179554,-0.022727272727272707
2013-10-01,9879,10059,9370,9690,120482,-0.020222446916076886
2013-10-02,9760,9879,9530,9850,138228,0.016511867905056654
2013-10-04,9630,10020,9400,9710,74782,-0.014213197969543123
2013-10-07,9820,10290,8830,9320,196657,-0.040164778578784754
2013-10-08,9269,9369,8770,9040,70164,-0.030042918454935674
2013-10-10,8970,9100,8630,9010,39316,-0.0033185840707964376
2013-10-11,8999,9189,8780,8970,26045,-0.004439511653718142
2013-10-14,9030,9519,8960,9510,61782,0.06020066889632103
2013-10-15,9489,9779,9160,9250,26162,-0.02733964248159837
2013-10-16,9400,9460,8740,9010,23587,-0.025945945945945903
2013-10-17,9000,9289,8960,9100,28607,0.009988901220865598
2013-10-18,9039,9159,8860,9020,17729,-0.00879120879120876
2013-10-21,9089,9089,8730,8760,16415,-0.02882483370288247
2013-10-22,8720,8799,8410,8740,15288,-0.0022831050228310223
2013-10-23,8730,9709,8730,9560,56834,0.09382151029748287
2013-10-24,9549,9549,8730,9150,22393,-0.042887029288702916
2013-10-25,9139,9139,8860,8920,12922,-0.025136612021857907
2013-10-28,9259,9259,8670,8710,11257,-0.023542600896861
2013-10-29,8710,9200,8630,8910,23805,0.02296211251435132
2013-10-30,8859,9189,8640,8760,15378,-0.01683501683501687
2013-10-31,8780,8929,8690,8860,6489,0.011415525114155223
2013-11-01,8830,9029,8800,8920,6985,0.006772009029345272
2013-11-04,8960,9449,8910,9180,17525,0.029147982062780242
2013-11-05,9340,9779,9320,9430,35347,0.027233115468409563
2013-11-06,9309,9599,9220,9230,13590,-0.02120890774125128
2013-11-07,9250,9690,9140,9500,14734,0.02925243770314201
2013-11-08,9579,9579,9220,9410,6577,-0.0094736842105263
2013-11-11,9449,9449,8620,8740,12864,-0.07120085015940492
2013-11-12,8520,9129,8520,8860,6156,0.013729977116704761
2013-11-13,8820,9259,8770,8890,2734,0.003386004514672747
2013-11-14,8859,9259,8570,8680,7287,-0.023622047244094446
2013-11-15,8650,8999,8650,8940,4358,0.02995391705069128
2013-11-18,9089,9089,8720,8810,8296,-0.014541387024608499
2013-11-19,8940,8940,8660,8780,5628,-0.0034052213393870323
2013-11-20,8780,8780,8420,8520,9317,-0.029612756264236872
2013-11-21,8509,8649,8260,8480,6111,-0.0046948356807511304
2013-11-22,8749,8749,8440,8610,1039,0.015330188679245182
2013-11-25,8769,8769,8570,8760,1687,0.017421602787456525
2013-11-26,8859,8859,8570,8840,2341,0.009132420091324311
2013-11-27,8829,8829,8640,8810,989,-0.0033936651583710287
2013-11-28,8990,8990,8610,8650,6105,-0.018161180476730987
2013-11-29,8879,8879,8440,8480,4716,-0.01965317919075149
2013-12-02,8510,8619,8410,8530,2219,0.005896226415094352
2013-12-03,8599,8599,8340,8430,1489,-0.011723329425556872
2013-12-04,8669,8669,8060,8450,8794,0.0023724792408066353
2013-12-05,8560,8560,8250,8290,3655,-0.018934911242603603
2013-12-06,8340,8439,8310,8400,1123,0.013268998793727338
2013-12-09,8130,8489,8130,8370,952,-0.0035714285714285587
2013-12-10,8639,8639,8180,8320,1257,-0.005973715651135025
2013-12-11,8459,8459,8150,8170,2718,-0.018028846153846145
2013-12-12,8020,8409,8000,8270,3625,0.012239902080783294
2013-12-13,8309,8309,8110,8270,152,0.0
2013-12-16,8239,8359,7151,8220,5998,-0.006045949214026569
2013-12-17,8179,8229,7950,8110,2228,-0.01338199513381999
2013-12-18,8279,8279,7890,8090,4487,-0.002466091245376112
2013-12-19,8109,8149,7840,7960,5149,-0.01606922126081578
2013-12-20,7820,8100,7820,8110,1806,0.018844221105527748
2013-12-23,8209,8209,7930,8060,674,-0.006165228113440224
2013-12-24,7920,8209,7920,8170,5563,0.013647642679900818
2013-12-26,8160,8340,7980,8340,1871,0.02080783353733162
2013-12-27,8289,8339,7920,8170,1594,-0.020383693045563533
2013-12-30,8159,8179,8050,8090,975,-0.009791921664626724
2014-01-02,7920,8160,7890,8170,1419,0.009888751545117369
2014-01-03,8279,8279,8060,8190,425,0.00244798041615657
2014-01-06,8250,8290,7910,8030,1381,-0.019536019536019578
2014-01-07,7740,7999,7740,7810,3271,-0.0273972602739726
2014-01-08,7969,7969,7660,7700,2668,-0.014084507042253502
2014-01-09,7979,7979,7620,7750,2436,0.006493506493506551
2014-01-10,7590,7819,7580,7600,2154,-0.01935483870967747
2014-01-13,7619,7689,7490,7570,4725,-0.003947368421052588
2014-01-14,7700,8030,7540,7670,1268,0.013210039630118908
2014-01-15,7670,8149,7640,7880,4149,0.027379400260756137
2014-01-16,8229,8339,7820,8060,3074,0.02284263959390853
2014-01-17,8320,8320,7880,8210,2353,0.018610421836228186
2014-01-20,8209,8209,7980,8190,1560,-0.0024360535931789995
2014-01-21,8180,8310,8000,8320,2450,0.015873015873015817
2014-01-22,8289,8289,8080,8170,4191,-0.018028846153846145
2014-01-23,7840,8260,7560,8270,5588,0.012239902080783294
2014-01-24,8289,8289,7980,8060,1213,-0.025392986698911768
2014-01-27,7990,7990,7550,7670,4144,-0.048387096774193505
2014-01-28,8120,8120,7630,7720,671,0.006518904823989535
2014-01-29,8049,8059,7670,7760,1059,0.005181347150259086
2014-02-03,8059,8059,7590,7620,5064,-0.01804123711340211
2014-02-04,7889,7979,7440,7810,5672,0.02493438320209984
2014-02-05,7901,8960,7901,8970,82373,0.14852752880921893
2014-02-06,9189,10068,8640,9120,165497,0.01672240802675584
2014-02-07,8970,9270,8710,8910,38845,-0.023026315789473673
2014-02-10,8899,9139,8800,8870,22387,-0.004489337822671136
2014-02-11,8880,9449,8880,9230,53472,0.040586245772266105
